spp,site,ftyp,_TYPE_,_FREQ_,count,area,pres
BT,55,C,0,4,0,0.0643,0
BT,55,O,0,4,0,0.6942,0
BT,56,C,0,2,2.5,0.3089,1
BT,56,O,0,4,6.25,0.4251,1
BT,59,C,0,5,0.2,0.5025,1
BT,59,O,0,4,0,0.3151,0
BT,6,C,0,5,4.2,1.3482,1
BT,60,C,0,5,7.4,1.4753,1
BT,60,O,0,5,9.4,1.0666,1
BT,61,C,0,3,4.3333333333,1.2371,1
BT,61,O,0,3,4.6666666667,0.9724,1
BT,62,C,0,3,2.3333333333,1.4273,1
BT,63,C,0,5,0.6,1.1627,1
BT,64,C,0,4,0.25,0.6148,1
BT,64,O,0,4,3,1.0128,1
BT,65,C,0,4,0.5,0.7839,1
BT,65,O,0,4,0.25,0.9264,1
BT,66,C,0,3,0.3333333333,0.7237,1
BT,66,O,0,4,1.75,1.3731,1
BT,67,C,0,5,0,0.6601,0
BT,67,O,0,5,0.2,0.6867,1
BT,68,C,0,4,0.75,0.2976,1
BT,7,C,0,5,4.8,2.7099,1
BT,7,O,0,5,0.6,0.4373,1
BT,70,C,0,4,0.25,0.4683,1
BT,70,O,0,4,2,0.5493,1
BT,71,C,0,4,0.5,0.2153,1
BT,72,C,0,5,0.6,0.7333,1
BT,72,O,0,4,0,0.7783,0
BT,73,C,0,5,0.6,0.664,1
BT,73,O,0,5,0,0.306,0
BT,74,C,0,5,2,0.5348,1
BT,74,O,0,5,4,0.9849,1
BT,75,C,0,5,0.8,0.5497,1
BT,75,O,0,5,8,0.9576,1
BT,76,C,0,5,1,1.155,1
BT,76,O,0,5,1,1.086,1
BT,77,C,0,4,1.75,0.8376,1
BT,77,O,0,4,1,0.5637,1
BT,78,C,0,5,3.4,1.1517,1
BT,78,O,0,4,0,0.3025,0
BT,79,C,0,5,0.6,0.6499,1
BT,79,O,0,5,2.2,1.3908,1
BT,8,C,0,5,1.4,0.872,1
BT,8,O,0,5,4.2,0.9237,1
BT,80,C,0,4,3.25,0.9748,1
BT,80,O,0,4,1.25,1.4184,1
BT,9,C,0,3,1,0.7905,1
BT,9,O,0,3,2.3333333333,0.4599,1
BT,99,C,0,3,0.3333333333,3.1787,1
BT,99,O,0,3,3.3333333333,1.0425,1
BZ,1,C,0,3,0,1.0567,0
BZ,1,O,0,3,0,0.7722,0
BZ,10,C,0,4,0,1.9052,0
BZ,152,C,0,4,0,1.9023,0
BZ,152,O,0,2,0,0.9748,0
BZ,16,C,0,3,0,0.2016,0
BZ,16,O,0,3,0,0.6402,0
BZ,17,C,0,5,0,0.4534,0
BZ,17,O,0,5,0,0.7884,0
BZ,18,C,0,5,0,1.041,0
BZ,18,O,0,5,0,2.2818,0
BZ,19,O,0,4,0,0.8086,0
BZ,20,C,0,2,0,0.6252,0
BZ,20,O,0,3,0,11.377,0
BZ,21,C,0,4,0,1.8954,0
BZ,21,O,0,4,0.5,1.4541,1
BZ,27,C,0,5,0,1.6112,0
BZ,27,O,0,5,0,0.3798,0
BZ,30,C,0,3,0,1.5888,0
BZ,30,O,0,3,0,1.1422,0
BZ,32,C,0,5,0,0.827,0
BZ,32,O,0,4,0,1.0007,0
BZ,36,C,0,4,0,0.8182,0
BZ,36,O,0,4,0,0.7828,0
BZ,37,O,0,5,0,1.2915,0
BZ,38,C,0,4,0.25,1.253,1
BZ,38,O,0,5,0.4,0.8475,1
BZ,39,C,0,3,0,1.1304,0
BZ,39,O,0,3,0,1.0848,0
BZ,4,C,0,5,0.2,1.1555,1
BZ,41,C,0,4,0.75,0.8226,1
BZ,41,O,0,4,0,0.4468,0
BZ,43,C,0,3,0,2.0517,0
BZ,45,C,0,4,0,1.1475,0
BZ,45,O,0,5,0.6,1.0027,1
BZ,46,C,0,5,0,0.1316,0
BZ,46,O,0,5,0,0.1842,0
BZ,47,C,0,4,0.25,0.3328,1
BZ,47,O,0,4,0.5,0.3478,1
BZ,49,O,0,4,0,1.0672,0
BZ,5,O,0,5,0.2,0.6903,1
BZ,50,C,0,4,0,0.4387,0
BZ,50,O,0,5,0.2,1.1295,1
BZ,51,O,0,5,0.6,0.8218,1
BZ,52,C,0,4,0,1.0836,0
BZ,52,O,0,4,0,0.8179,0
BZ,53,C,0,5,0,1.315,0
BZ,53,O,0,5,0,0.5553,0
BZ,55,C,0,4,0,0.0643,0
BZ,55,O,0,4,0,0.6942,0
BZ,56,C,0,2,0.5,0.3089,1
BZ,56,O,0,4,0.75,0.4251,1
BZ,59,C,0,5,0,0.5025,0
BZ,59,O,0,4,0,0.3151,0
BZ,6,C,0,5,0.2,1.3482,1
BZ,60,C,0,5,0.6,1.4753,1
BZ,60,O,0,5,1.2,1.0666,1
BZ,61,C,0,3,0.3333333333,1.2371,1
BZ,61,O,0,3,0,0.9724,0
BZ,62,C,0,3,0,1.4273,0
BZ,63,C,0,5,0.2,1.1627,1
BZ,64,C,0,4,0,0.6148,0
BZ,64,O,0,4,0.25,1.0128,1
BZ,65,C,0,4,0.25,0.7839,1
BZ,65,O,0,4,0,0.9264,0
BZ,66,C,0,3,0,0.7237,0
BZ,66,O,0,4,0,1.3731,0
BZ,67,C,0,5,0,0.6601,0
BZ,67,O,0,5,0,0.6867,0
BZ,68,C,0,4,0,0.2976,0
BZ,7,C,0,5,0,2.7099,0
BZ,7,O,0,5,0,0.4373,0
BZ,70,C,0,4,0,0.4683,0
BZ,70,O,0,4,0,0.5493,0
BZ,71,C,0,4,0,0.2153,0
BZ,72,C,0,5,0.2,0.7333,1
BZ,72,O,0,4,0,0.7783,0
BZ,73,C,0,5,0,0.664,0
BZ,73,O,0,5,0,0.306,0
BZ,74,C,0,5,0.6,0.5348,1
BZ,74,O,0,5,0,0.9849,0
BZ,75,C,0,5,0,0.5497,0
BZ,75,O,0,5,0,0.9576,0
BZ,76,C,0,5,0.2,1.155,1
BZ,76,O,0,5,0,1.086,0
BZ,77,C,0,4,0,0.8376,0
BZ,77,O,0,4,0,0.5637,0
BZ,78,C,0,5,0,1.1517,0
BZ,78,O,0,4,0,0.3025,0
BZ,79,C,0,5,0,0.6499,0
BZ,79,O,0,5,0,1.3908,0
BZ,8,C,0,5,0,0.872,0
BZ,8,O,0,5,0.2,0.9237,1
BZ,80,C,0,4,0,0.9748,0
BZ,80,O,0,4,0,1.4184,0
BZ,9,C,0,3,0,0.7905,0
BZ,9,O,0,3,0,0.4599,0
BZ,99,C,0,3,0,3.1787,0
BZ,99,O,0,3,0,1.0425,0
C.,1,C,0,3,0,1.0567,0
C.,1,O,0,3,0,0.7722,0
C.,10,C,0,4,0.5,1.9052,1
C.,152,C,0,4,0.5,1.9023,1
C.,152,O,0,2,2,0.9748,1
C.,16,C,0,3,0.3333333333,0.2016,1
C.,16,O,0,3,0,0.6402,0
C.,17,C,0,5,0,0.4534,0
C.,17,O,0,5,0,0.7884,0
C.,18,C,0,5,0.2,1.041,1
C.,18,O,0,5,0.2,2.2818,1
C.,19,O,0,4,0,0.8086,0
C.,20,C,0,2,0,0.6252,0
C.,20,O,0,3,0.3333333333,11.377,1
